truetaxa,del13c,del13c_se,n,min,max,del13c_sd,del13c_var,genus,species,altname,altgenus,altspecies,division,author
Acanthophora spicifera,-12,1.9,2,-13.9,-10.1,2.6870057685,7.22,Acanthophora,spicifera,,,,Rhodophyta,
Acrosorium yendoi,-31.5,,1,-31.5,-31.5,,,Acrosorium,yendoi,,,,Rhodophyta,
Acrotylus australis,-30.45,,1,-30.45,-30.45,,,Acrotylus,australis,,,,Rhodophyta,
Actinotrichia fragilis,-13.64,,1,-13.64,-13.64,,,Actinotrichia,fragilis,,,,Rhodophyta,
Aglaothamnion sepositum,-28.96,,1,-28.96,-28.96,,,Aglaothamnion,sepositum,,,,Rhodophyta,
Ahnfeltia plicata,-18.4266666667,1.2145826901,3,-20.82,-16.87,2.1037189293,4.4256333333,Ahnfeltia,plicata,,,,Rhodophyta,
Amansia glomerata,-17.55,0.4625,2,,,,,Amansia,glomerata,,,,Rhodophyta,Diaz-Pulido_etal_2016
Amphiroa foliacea,-13.7,,1,-13.7,-13.7,,,Amphiroa,foliacea,,,,Rhodophyta,
Amphiroa fragilissima,-13.76,0.2036,5,,,,,Amphiroa,fragilissima,,,,Rhodophyta,Diaz-Pulido_etal_2016
Anotrichium crinitum,-30.9925,0.3890881434,4,-31.8,-30,0.7781762868,0.6055583333,Anotrichium,crinitum,,,,Rhodophyta,
Apophlaea lyallii,-11.32,,1,-11.32,-11.32,,,Apophlaea,lyallii,,,,Rhodophyta,
Asparagopsis armata,-29.485,0.1863911657,4,-29.74,-28.94,0.3727823315,0.1389666667,Asparagopsis,armata,,,,Rhodophyta,
Asparagopsis taxiformis,-28,,1,-28,-28,,,Asparagopsis,taxiformis,Asparogopsis taxiformis,Asparaogopsis,taxiformis,Rhodophyta,
Audouinella floridula,-17.13,,1,-17.13,-17.13,,,Audouinella,floridula,,,,Rhodophyta,
Ballia callitricha,-32.86,0.5435377938,3,-33.83,-31.95,0.9414350748,0.8863,Ballia,callitricha,,,,Rhodophyta,
Bonnemaisonia hamifera,-28.8533333333,0.7877464341,3,-30.15,-27.43,1.3644168474,1.8616333333,Bonnemaisonia,hamifera,Trailliella intricata,Trailliella,intricata,Rhodophyta,
Bornetia secundiflora,-28.87,,1,-28.87,-28.87,,,Bornetia,secundiflora,,,,Rhodophyta,
Bostrychia arbuscula,-30.0933333333,0.3096413696,3,-30.65,-29.58,0.5363145843,0.2876333333,Bostrychia,arbuscula,Stictosiphonia arbuscula,Stictosiphonia,arbuscula,Rhodophyta,
Bostrychia scorpioides,-30.87,,1,-30.87,-30.87,,,Bostrychia,scorpoiodes,,,,Rhodophyta,
Botryocladia botryoides,-27.59,,1,-27.59,-27.59,,,Botryocladia,botryoides,,,,Rhodophyta,
Brongniartella australis,-19.35,1.15,2,-20.5,-18.2,1.6263455967,2.645,Brongniartella,australis,,,,Rhodophyta,
Brongniartella byssoides,-26.48,,1,-26.48,-26.48,,,Brongniartella,byssoides,,,,Rhodophyta,
Callithamnion corymbosum,-30.42,,1,-30.42,-30.42,,,Callithamnion,corymbosum,,,,Rhodophyta,
Callithamnion pikeanum,-31.1075,,1,-31.11,-31.11,,,Callithamnion,pikeanum,,,,Rhodophyta,
Callithamnion tetragonum,-27.645,2.825,2,-30.47,-24.82,3.9951533137,15.96125,Callithamnion,tetragonum,,,,Rhodophyta,
Callophycus harveyanus,-17.36,,1,-17.36,-17.36,,,Callophycus,harveyanus,,,,Rhodophyta,
