class,order,family,genus,source
Florideophyceae,Ceramiales,Rhodomelaceae,Acanthophora,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,ncbi
Florideophyceae,Gigartinales,Acrotylaceae,Acrotylus,ncbi
Florideophyceae,Nemaliales,Galaxauraceae,Actinotrichia,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Aglaothamnion,ncbi
Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Amansia,ncbi
Florideophyceae,Corallinales,Corallinaceae,Amphiroa,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Anotrichium,ncbi
Florideophyceae,Hildenbrandiales,Hildenbrandiaceae,Apophlaea,ncbi
Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,ncbi
Florideophyceae,Acrochaetiales,Acrochaetiaceae,Audouinella,ncbi
Florideophyceae,Balliales,Balliaceae,Ballia,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Bostrychia,ncbi
Florideophyceae,Rhodymeniales,Rhodymeniaceae,Botryocladia,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Brongniartella,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Callithamnion,ncbi
Florideophyceae,Gigartinales,Solieriaceae,Callophycus,ncbi
Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,ncbi
Florideophyceae,Gigartinales,Caulacanthaceae,Catenella,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Ceramium,ncbi
Florideophyceae,Rhodymeniales,Champiaceae,Champia,ncbi
Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Chondria,ncbi
Florideophyceae,Gigartinales,Gigartinaceae,Chondrus,ncbi
Florideophyceae,Rhodymeniales,Champiaceae,Chylocladia,ncbi
Florideophyceae,Corallinales,Corallinaceae,Corallina,ncbi
Florideophyceae,Gigartinales,Cystocloniaceae,Craspedocarpus,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,ncbi
Florideophyceae,Nemaliales,Liagoraceae,Cumagloia,ncbi
Florideophyceae,Gracilariales,Gracilariaceae,Curdiea,ncbi
Florideophyceae,Gigartinales,Cystocloniaceae,Cystoclonium,ncbi
Florideophyceae,Ceramiales,Dasyaceae,Dasya,ncbi
Florideophyceae,Ceramiales,Delesseriaceae,Delesseria,ncbi
Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Delisea,ncbi
Florideophyceae,Nemaliales,Galaxauraceae,Dichotomaria,ncbi
Florideophyceae,Ceramiales,Rhodomelaceae,Digenea,ncbi
Florideophyceae,Gigartinales,Dumontiaceae,Dilsea,ncbi
Florideophyceae,Gigartinales,Dumontiaceae,Dumontia,ncbi
Florideophyceae,Gigartinales,Endocladiaceae,Endocladia,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Euptilota,ncbi
Florideophyceae,Gigartinales,Furcellariaceae,Furcellaria,ncbi
Florideophyceae,Nemaliales,Galaxauraceae,Galaxaura,ncbi
Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,ncbi
Florideophyceae,Ceramiales,Ceramiaceae,Georgiella,ncbi
Florideophyceae,Gigartinales,Dumontiaceae,Gibsmithia,ncbi
Florideophyceae,Gigartinales,Gigartinaceae,Gigartina,ncbi
