childtaxa_id,childtaxa_name,childtaxa_rank,parent,parent_rank,source
31355,Acrochaetiales,order,Florideophyceae,class,ncbi
369754,Acrosymphytales,order,Florideophyceae,class,ncbi
31361,Ahnfeltiales,order,Florideophyceae,class,ncbi
111859,Balbianiales,order,Florideophyceae,class,ncbi
123989,Balliales,order,Florideophyceae,class,ncbi
31370,Batrachospermales,order,Florideophyceae,class,ncbi
31364,Bonnemaisoniales,order,Florideophyceae,class,ncbi
2802,Ceramiales,order,Florideophyceae,class,ncbi
658648,Colaconematales,order,Florideophyceae,class,ncbi
1405800,Entwisleiales,order,Florideophyceae,class,ncbi
31399,Gelidiales,order,Florideophyceae,class,ncbi
28017,Gigartinales,order,Florideophyceae,class,ncbi
31468,Gracilariales,order,Florideophyceae,class,ncbi
50289,Halymeniales,order,Florideophyceae,class,ncbi
1705611,Hapalidiales,order,Florideophyceae,class,ncbi
31477,Hildenbrandiales,order,Florideophyceae,class,ncbi
2807,Nemaliales,order,Florideophyceae,class,ncbi
199699,Nemastomatales,order,Florideophyceae,class,ncbi
2819,Palmariales,order,Florideophyceae,class,ncbi
244123,Pihiellales,order,Florideophyceae,class,ncbi
35203,Plocamiales,order,Florideophyceae,class,ncbi
498764,Rhodachlyales,order,Florideophyceae,class,ncbi
29247,Rhodymeniales,order,Florideophyceae,class,ncbi
369753,Sebdeniales,order,Florideophyceae,class,ncbi
891383,Thoreales,order,Florideophyceae,class,ncbi
31356,Acrochaetiaceae,family,Acrochaetiales,order,ncbi
142495,Acrosymphytaceae,family,Acrosymphytales,order,ncbi
31356,Acrochaetiaceae,family,Acrochaetiales,order,ncbi
142495,Acrosymphytaceae,family,Acrosymphytales,order,ncbi
31362,Ahnfeltiaceae,family,Ahnfeltiales,order,ncbi
173442,Balbianiaceae,family,Balbianiales,order,ncbi
123990,Balliaceae,family,Balliales,order,ncbi
177372,Balliopsis,genus,Batrachospermales,order,ncbi
67901,Psilosiphonaceae,family,Batrachospermales,order,ncbi
31374,Lemaneaceae,family,Batrachospermales,order,ncbi
31371,Batrachospermaceae,family,Batrachospermales,order,ncbi
173448,Naccariaceae,family,Bonnemaisoniales,order,ncbi
31365,Bonnemaisoniaceae,family,Bonnemaisoniales,order,ncbi
998122,Sarcomeniaceae,family,Ceramiales,order,ncbi
756396,Wrangeliaceae,family,Ceramiales,order,ncbi
35164,Dasyaceae,family,Ceramiales,order,ncbi
31386,Delesseriaceae,family,Ceramiales,order,ncbi
31377,Ceramiaceae,family,Ceramiales,order,ncbi
2803,Rhodomelaceae,family,Ceramiales,order,ncbi
658649,Colaconemataceae,family,Colaconematales,order,ncbi
1405801,Entwisleiaceae,family,Entwisleiales,order,ncbi
436067,Aphanta,genus,Gelidiales,order,ncbi
2808,Gelidiaceae,family,Gelidiales,order,ncbi
1848510,Catenellopsidaceae,family,Gigartinales,order,ncbi
1819309,Etheliaceae,family,Gigartinales,order,ncbi
1405792,Chondrymeniaceae,family,Gigartinales,order,ncbi
1037068,Crossocarpaceae,family,Gigartinales,order,ncbi
867921,Haemeschariaceae,family,Gigartinales,order,ncbi
282346,Choreocolacaceae,family,Gigartinales,order,ncbi
257613,Areschougiaceae,family,Gigartinales,order,ncbi
257601,Wurdemanniaceae,family,Gigartinales,order,ncbi
257593,Rissoellaceae,family,Gigartinales,order,ncbi
257590,Pseudoanemoniaceae,family,Gigartinales,order,ncbi
257583,Mychodeophyllaceae,family,Gigartinales,order,ncbi
257562,Cubiculosporaceae,family,Gigartinales,order,ncbi
257559,Cruoriaceae,family,Gigartinales,order,ncbi
257552,Corynocystaceae,family,Gigartinales,order,ncbi
257543,Acrotylaceae,family,Gigartinales,order,ncbi
239158,Corynomorphaceae,family,Gigartinales,order,ncbi
239142,Dicranemataceae,family,Gigartinales,order,ncbi
173469,Calosiphoniaceae,family,Gigartinales,order,ncbi
173455,Peyssonneliaceae,family,Gigartinales,order,ncbi
142503,Gainiaceae,family,Gigartinales,order,ncbi
50886,Mychodeaceae,family,Gigartinales,order,ncbi
38385,Tichocarpaceae,family,Gigartinales,order,ncbi
38384,Caulacanthaceae,family,Gigartinales,order,ncbi
35196,Phacelocarpaceae,family,Gigartinales,order,ncbi
35193,Nizymeniaceae,family,Gigartinales,order,ncbi
31465,Sphaerococcaceae,family,Gigartinales,order,ncbi
31462,Rhizophyllidaceae,family,Gigartinales,order,ncbi
31459,Polyideaceae,family,Gigartinales,order,ncbi
31441,Solieriaceae,family,Gigartinales,order,ncbi
31430,Kallymeniaceae,family,Gigartinales,order,ncbi
31427,Hypneaceae,family,Gigartinales,order,ncbi
31424,Gloiosiphoniaceae,family,Gigartinales,order,ncbi
31415,Dumontiaceae,family,Gigartinales,order,ncbi
31412,Cystocloniaceae,family,Gigartinales,order,ncbi
29217,Gigartinaceae,family,Gigartinales,order,ncbi
28021,Phyllophoraceae,family,Gigartinales,order,ncbi
28018,Furcellariaceae,family,Gigartinales,order,ncbi
2814,Endocladiaceae,family,Gigartinales,order,ncbi
282358,Pterocladiophilaceae,family,Gracilariales,order,ncbi
31469,Gracilariaceae,family,Gracilariales,order,ncbi
199491,Tsengiaceae,family,Halymeniales,order,ncbi
31453,Halymeniaceae,family,Halymeniales,order,ncbi
227970,Hapalidiaceae,family,Hapalidiales,order,ncbi
31478,Hildenbrandiaceae,family,Hildenbrandiales,order,ncbi
268579,Scinaiaceae,family,Nemaliales,order,ncbi
73096,Galaxauraceae,family,Nemaliales,order,ncbi
31484,Liagoraceae,family,Nemaliales,order,ncbi
173458,Nemastomataceae,family,Nemastomatales,order,ncbi
42185,Schizymeniaceae,family,Nemastomatales,order,ncbi
909750,Meiodiscaceae,family,Palmariales,order,ncbi
39579,Rhodothamniellaceae,family,Palmariales,order,ncbi
39570,Rhodophysemataceae,family,Palmariales,order,ncbi
2820,Palmariaceae,family,Palmariales,order,ncbi
244124,Pihiellaceae,family,Pihiellales,order,ncbi
38556,Sarcodiaceae,family,Plocamiales,order,ncbi
31450,Plocamiaceae,family,Plocamiales,order,ncbi
498765,Rhodachlyaceae,family,Rhodachlyales,order,ncbi
1827019,Minium,genus,Rhodymeniales,order,ncbi
748726,Hymenocladiaceae,family,Rhodymeniales,order,ncbi
748682,Fryeellaceae,family,Rhodymeniales,order,ncbi
81601,Faucheaceae,family,Rhodymeniales,order,ncbi
31501,Rhodymeniaceae,family,Rhodymeniales,order,ncbi
31498,Lomentariaceae,family,Rhodymeniales,order,ncbi
31497,Champiaceae,family,Rhodymeniales,order,ncbi
50885,Sebdeniaceae,family,Sebdeniales,order,ncbi
67959,Thoreaceae,family,Thoreales,order,ncbi
525894,Grania,genus,Acrochaetiaceae,family,ncbi
257599,Schmitziella,genus,Acrochaetiaceae,family,ncbi
39575,Rhodochorton,genus,Acrochaetiaceae,family,ncbi
31359,Audouinella,genus,Acrochaetiaceae,family,ncbi
31357,Acrochaetium,genus,Acrochaetiaceae,family,ncbi
525894,Grania,genus,Acrochaetiaceae,family,ncbi
257599,Schmitziella,genus,Acrochaetiaceae,family,ncbi
39575,Rhodochorton,genus,Acrochaetiaceae,family,ncbi
31359,Audouinella,genus,Acrochaetiaceae,family,ncbi
31357,Acrochaetium,genus,Acrochaetiaceae,family,ncbi
142496,Acrosymphyton,genus,Acrosymphytaceae,family,ncbi
142496,Acrosymphyton,genus,Acrosymphytaceae,family,ncbi
259824,Hennedya,genus,Acrotylaceae,family,ncbi
257550,Claviclonium,genus,Acrotylaceae,family,ncbi
257548,Antrocentrum,genus,Acrotylaceae,family,ncbi
257546,Amphiplexia,genus,Acrotylaceae,family,ncbi
257544,Acrotylus,genus,Acrotylaceae,family,ncbi
28022,Ahnfeltia,genus,Ahnfeltiaceae,family,ncbi
257614,Tikvahiella,genus,Areschougiaceae,family,ncbi
88418,Rhabdonia,genus,Areschougiaceae,family,ncbi
88416,Erythroclonium,genus,Areschougiaceae,family,ncbi
111860,Balbiania,genus,Balbianiaceae,family,ncbi
67957,Rhododraparnaldia,genus,Balbianiaceae,family,ncbi
122416,Ballia,genus,Balliaceae,family,ncbi
1884863,Setacea,genus,Batrachospermaceae,family,ncbi
1866279,Nocturama,genus,Batrachospermaceae,family,ncbi
1486645,Sheathia,genus,Batrachospermaceae,family,ncbi
644269,Kumanoa,genus,Batrachospermaceae,family,ncbi
320782,Petrohua,genus,Batrachospermaceae,family,ncbi
109051,Chantransia,genus,Batrachospermaceae,family,ncbi
