taxa,altname
Asparagopsis taxiformis,Asparogopsis taxiformis
Bonnemaisonia hamifera,Trailliella intricata
Bostrychia arbuscula,Stictosiphonia arbuscula
Callophyllis calliblephrioides,Callophyllus calliblephrioides
Callophyllis cristata,Callophyllus cristata
Callophyllis laciniata,Callophyllus laciniata
Corallina officinalis,Corallina chilensis
Digenea simplex,Digenia simplex
Gracilaria bursa-pastoris,Gracilaria compressa
Gracilaria gracilis,Gracilaria gracillis
Grateloupia chiangii,Prionitis divaricata
Grateloupia cornea,Prionitis cornea
Grateloupia ramosissima,Prionitis ramosissima
Halopeltis australis,Rhodymenia australis
Halopitys uncunatus,Halopithys uncunatus
Jania micrarthandia,Jania micrarthrodia
Jania rosea,Haliptilon roseum
Jania sagittatum,Cheilosporum sagittatum
Laurencia nipponica,Laurencia niponica
Mastocarpus cristatus,Gigartina cristata
Mastocarpus stellatus,Mastocarpus stellata
Mazzaella flaccida,Iridaea flaccida
Metamastophora flabellata,Metamastophora flabelata
Myriogramme crispata,Myriogrammae crispata
Myriogramme gunniana,Myriogrammae gunniana
Neuroglossum delesseriae,Neuroglossum ligulatum
Osmundea pinnatifida,Laurencia pinnatifida
Palisada perforata,Chondrophycus papillosus
Parviphycus pannosus,Gelidiella pannosa
Phacelocarpus peperocarpos,Phacelocarpous peperocarpos
Plumaria plumosa,Plumaria elegans
Polyides rotunda,Polyides rotundus
Pterocladiella capillacea,Pterocladia capillacea
Ptilophora mediterranea,Ptilophora mediterranean
Rhodophyllis membranacea,Rhodophyllis gunnii
Rhodothamniella floridula,Rhodochorton floridulum
Stenogramma interruptum,Stenogramme interruptum
Yuzurua poiteaui,Palisada poiteaui
