genus,kingdom,phylum,subphylum,infraphylum,superclass,class,subclass,order,family,subfamily,tribe,fgroup1,fgroup2,fgroup3,calcifying
Acanthophora,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Chondrieae,filamentous,coarsely branched,,
Acrosorium,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Delesseriaceae,Phycodryoideae,Cryptopleureae,filamentous,coarsely branched,,
Acrotylus,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Acrotylaceae,,,coarsely branched,filamentous,,
Actinotrichia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Nemaliales,Galaxauraceae,,,jointed calcareous,filamentous,,yes
Aglaothamnion,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Callithamniaceae,,Callithamnieae,filamentous,,,
Ahnfeltia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Ahnfeltiophycidae,Ahnfeltiales,Ahnfeltiaceae,,,filamentous,,,
Ahnfeltiopsis,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Phyllophoraceae,,,thick leathery,coarsely branched,,
Amansia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Amansieae,,,,
Amphiroa,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Corallinophycidae,Corallinales,Corallinaceae,Lithophylloideae,,jointed calcareous,,,yes
Anotrichium,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Wrangeliaceae,,Griffithsieae,filamentous,,,
Apophlaea,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Hildenbrandiophycidae,Hildenbrandiales,Hildenbrandiaceae,,,thick leathery,,,
Arthrocardia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Corallinophycidae,Corallinales,Corallinaceae,Corallinoideae,,jointed calcareous,,,yes
Asparagopsis,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Bonnemaisoniales,Bonnemaisoniaceae,,,filamentous,,,
Audouinella,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Acrochaetiales,Acrochaetiaceae,,,filamentous,,,
Ballia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Balliales,Balliaceae,,,filamentous,,,
Bonnemaisonia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Bonnemaisoniales,Bonnemaisoniaceae,,,filamentous,,,
Bornetia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Ceramiaceae,Ceramioideae,Bornetieae,filamentous,,,
Bossiella,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Corallinophycidae,Corallinales,Corallinaceae,Corallinoideae,,jointed calcareous,,,yes
Bostrychia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Bostrychieae,filamentous,,,
Botryocladia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Rhodymeniales,Rhodymeniaceae,,,filamentous,,,
Brongniartella,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Brongniartelleae,filamentous,,,
Callithamnion,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Callithamniaceae,,Callithamnieae,filamentous,,,
